artist_name,painting_name,artist_year_of_death,artist_gender,artist_origin,painting_style,painting_content,painting_medium,painting_turnover,painting_wikiart_link,painting_rarity,painting_image_link,artist_description,artist_wiki_link,artist_image_link,nft_collectible_link,nft_image_link,nft_ipfs_token_id,
Edouard Manet,The Fifer,1883,Male,French,Realism,portrait,"oil, canvas",16246389,https://www.wikiart.org/en/edouard-manet/the-fifer-1866,4,https://i.ibb.co/wh7j0j1/image.jpg,"Édouard Manet  was a French modernist painter. He was one of the first 19th-century artists to paint modern life, as well as a pivotal figure in the transition from Realism to Impressionism.",https://en.wikipedia.org/wiki/%C3%89douard_Manet,https://i.ibb.co/LP5Qcz5/image.jpg,https://i.ibb.co/v186HFD/image.png,https://i.ibb.co/JngG07f/image.gif,1,
Ben Shahn,Portrait of Dag Hammarskjold,1969,Male,American,Expressionism,portrait,wood,29000,https://www.wikiart.org/en/ben-shahn/portrait-of-dag-hammarskjold-1962,6,https://i.ibb.co/q5yd2Dn/image.jpg,"Ben Shahn  was an American artist. He is best known for his works of social realism, his left-wing political views, and his series of lectures published as The Shape of Content.",https://en.wikipedia.org/wiki/Ben_Shahn,https://i.ibb.co/CwSYVbx/image.jpg,https://i.ibb.co/58CPS4x/image.png,https://i.ibb.co/Th694qM/image.gif,2,
James Rosenquist,Welcome to the Water Planet,2017,Male,American,Pop Art,figurative,,13866149,https://www.wikiart.org/en/james-rosenquist/welcome-to-the-water-planet-1987-1,4,https://i.ibb.co/4R6cNdL/image.jpg,"James Rosenquist  was an American artist and one of the proponents of the pop art movement. Drawing from his background working in sign painting, Rosenquist's pieces often explored the role of advertising and consumer culture in art and society, utilizing techniques he learned making commercial art to depict popular cultural icons and mundane everyday objects.",https://en.wikipedia.org/wiki/James_Rosenquist,https://i.ibb.co/n63t0VD/image.jpg,https://i.ibb.co/kBkSdp8/image.png,https://i.ibb.co/KN6cLrL/image.gif,3,
Joaquin Torres-Garcia,Abstract Art in Five Tones and Complementaries,1949,Male,Spanish,Abstract Art,abstract,"oil, board",9392548,https://www.wikiart.org/en/joaquin-torres-garcia/abstract-art-in-five-tones-and-complementaries-1943,4,https://i.ibb.co/rv5VXW1/image.jpg,"Joaquín Torres García  was a Uruguayan-Spanish artist who was born in Montevideo, Uruguay. Torres-García emigrated to Catalunya, Spain as an adolescent, where he began his career as an artist in 1891.",https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Torres-Garc%C3%ADa,https://i.ibb.co/qMnDsK2/image.jpg,https://i.ibb.co/rft8PmW/image.png,https://i.ibb.co/BtGbYYX/image.gif,4,
Hilma af Klint,"Atom Series, No. 8 Atom on the ether plane is in constant change between rest and activity. At the rest it pulls itself inwards. This affects the earthly atom as giving of force.",1944,Female,Swedish,Abstract Art,abstract,"watercolor, paper",,https://www.wikiart.org/en/hilma-af-klint/atom-series-no-8-atom-on-the-ether-plane-is-in-constant-change-between-rest-and-activity-at-the-1917,4,https://i.ibb.co/HxV5BDz/image.jpg,"Hilma af Klint  was a Swedish artist and mystic whose paintings are considered among the first abstract works known in Western art history. A considerable body of her work predates the first purely abstract compositions by Kandinsky, Malevich and Mondrian.",https://en.wikipedia.org/wiki/Hilma_af_Klint,https://i.ibb.co/3vRDdtb/image.jpg,https://i.ibb.co/xgt5XdW/image.png,https://i.ibb.co/pdLFt3t/image.gif,5,
Andrea Mantegna,Madonna and Child with Seraphim and Cherubim,1506,Male,Italian,Early Renaissance,religious painting,"wood, gold, tempera",5924,https://www.wikiart.org/en/andrea-mantegna/madonna-and-child-with-seraphim-and-cherubim-1460,6,https://i.ibb.co/CmPZjng/image.jpg,"Andrea Mantegna  was an Italian painter, a student of Roman archeology, and son-in-law of Jacopo Bellini. 
Like other artists of the time, Mantegna experimented with perspective, e.",https://en.wikipedia.org/wiki/Andrea_Mantegna,https://i.ibb.co/5v6WMdj/image.jpg,https://i.ibb.co/7j88X6q/image.png,https://i.ibb.co/YhJRBhr/image.gif,6,
Martin Schongauer,Wild woman with shield,1976,Male,German,Northern Renaissance,mythological painting,,37352,https://www.wikiart.org/en/martin-schongauer/wild-woman-with-shield-1490,6,https://i.ibb.co/DCFTrCX/image.jpg,"Martin Schongauer , also known as Martin Schön  or Hübsch Martin  by his contemporaries, was an Alsatian engraver and painter. He was the most important printmaker north of the Alps before Albrecht Dürer, a younger artist who collected his work.",https://en.wikipedia.org/wiki/Martin_Schongauer,https://i.ibb.co/8xw9c1S/image.jpg,https://i.ibb.co/0s514K1/image.png,https://i.ibb.co/4mHHyHB/image.gif,7,
Marie Laurencin,Two Heads,1956,Female,Russian,Expressionism,portrait,,2365533,https://www.wikiart.org/en/marie-laurencin/two-heads-1935,5,https://i.ibb.co/nj6WmL7/image.jpg,Marie Laurencin  was a French painter and printmaker. She became an important figure in the Parisian avant-garde as a member of the Cubists associated with the Section d'Or.,https://en.wikipedia.org/wiki/Marie_Laurencin,https://i.ibb.co/wp9Gygk/image.jpg,https://i.ibb.co/KsGZmnQ/image.png,https://i.ibb.co/kJ4jZSn/image.gif,8,
Orazio Gentileschi,Young Woman Playing a Violin,1639,Male,Italian,Mannerism (Late Renaissance),genre painting,,0,https://www.wikiart.org/en/orazio-gentileschi/young-woman-playing-a-violin-1624,6,https://i.ibb.co/bHXdhSw/image.jpg,"Orazio Lomi Gentileschi  was an Italian painter. Born in Tuscany, he began his career in Rome, painting in a Mannerist style, much of his work consisting of painting the figures within the decorative schemes of other artists.",https://en.wikipedia.org/wiki/Orazio_Gentileschi,https://i.ibb.co/7yHDbPz/image.jpg,https://i.ibb.co/9r8WMV4/image.png,https://i.ibb.co/99HnntB/image.gif,9,
Rene Magritte,The treachery of images (This is not a pipe),1967,Male,Belgian,Surrealism,symbolic painting,"oil, canvas",173838476,https://www.wikiart.org/en/rene-magritte/the-treachery-of-images-this-is-not-a-pipe-1948,1,https://i.ibb.co/zR7Cb1j/image.jpg,"René François Ghislain Magritte  was a Belgian surrealist artist, who became well known for creating a number of witty and thought-provoking images. Often depicting ordinary objects in an unusual context, his work is known for challenging observers' preconditioned perceptions of reality.",https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte,https://i.ibb.co/bzjxmBy/image.jpg,https://i.ibb.co/LgcwpL4/image.png,https://i.ibb.co/wJvg5ck/image.gif,10,
